TABLE_NAME,TABLE_SCHEMA,ENGINE,TABLE_ROWS,DATA_LENGTH,INDEX_LENGTH
payment_response_status,systemx,InnoDB,4785,507904,0
payment_toggle_status,systemx,InnoDB,354,49152,0
payment_type,systemx,InnoDB,7,16384,0
paymodeMaster,systemx,InnoDB,5,16384,0
pennydrop_logs,systemx,InnoDB,9374,1589248,0
product,systemx,InnoDB,44,16384,32768
queryMaster,systemx,InnoDB,3,16384,0
receipt_type_master,systemx,InnoDB,3,16384,0
registrationResponse,systemx,InnoDB,8291546,383647744,277872640
registrationReversal,systemx,InnoDB,0,16384,0
registrationReversalResponse,systemx,InnoDB,0,16384,0
registrationReversalStatus,systemx,InnoDB,3609,491520,65536
registration_rejection,systemx,InnoDB,380,81920,81920
rejectedReasonMaster,systemx,InnoDB,0,16384,0
rejection,systemx,InnoDB,33,16384,0
repaymentMaster,systemx,InnoDB,9,16384,0
reportStatus,systemx,InnoDB,1211,507904,0
report_download_counter_tbl,systemx,InnoDB,57,16384,0
role,systemx,InnoDB,42,16384,0
rollback_req_res_logs,systemx,InnoDB,0,16384,0
rptReversalRejectionMaster,systemx,InnoDB,529,98304,196608
rtbErrorMaster,systemx,InnoDB,43,16384,0
scan_demerge_file_log,systemx,InnoDB,0,16384,32768
scan_merge_sftp_push_log,systemx,InnoDB,3273,1589248,0
scan_reg_bank_list,systemx,InnoDB,8,16384,0
scan_reg_cron_log,systemx,InnoDB,46472,4734976,0
scan_reg_rev_file_log,systemx,InnoDB,11124,2637824,0
scheme_master,systemx,InnoDB,47,16384,16384
scheme_master_email,systemx,InnoDB,6,16384,0
serial_no_gsm,systemx,InnoDB,24,16384,0
serial_no_non_gsm,systemx,InnoDB,337707,88719360,0
serial_req_res_logs,systemx,InnoDB,776,1589248,0
serialvalidation_file_log,systemx,InnoDB,17,16384,0
serialvalidation_log,systemx,InnoDB,8,16384,0
serialvalidation_logs,systemx,InnoDB,822,360448,0
serialvalidation_manufacturer,systemx,InnoDB,17,16384,0
sfdc_api_req_res_logs,systemx,InnoDB,441062,12173967360,0
sftp_constants,systemx,InnoDB,1,16384,0
sftp_dir_list,systemx,InnoDB,32,16384,0
sms_log,systemx,InnoDB,1495561,901775360,48349184
source_system,systemx,InnoDB,29,16384,0
source_system_master,systemx,InnoDB,22,16384,16384
sponsorBank,systemx,InnoDB,206,65536,49152
sponsorUtility,systemx,InnoDB,42,16384,0
sponsor_bank_payment_type_master,systemx,InnoDB,6,16384,0
subProduct,systemx,InnoDB,22,16384,0
subRole,systemx,InnoDB,4,16384,0
sucess_error_count,systemx,InnoDB,61,16384,0
swap_mnd_blk_files_log,systemx,InnoDB,4,16384,16384
swap_reversal_file,systemx,InnoDB,46,16384,0
system,systemx,InnoDB,8,16384,0
systemx_io_reports,systemx,InnoDB,25859,3686400,278528
testdb,systemx,InnoDB,0,16384,16384
ui_api_logs,systemx,InnoDB,6168,425984,360448
update_micr_master,systemx,InnoDB,9178,1589248,0
user,systemx,InnoDB,1568,393216,65536
userRecord,systemx,InnoDB,12423,1589248,0
userRole,systemx,InnoDB,1741,131072,0
userType,systemx,InnoDB,3,16384,0
user_reg_status,systemx,InnoDB,5,16384,0
users,systemx,InnoDB,0,16384,0
venderName,systemx,InnoDB,4,16384,0
verify_api_cron_log,systemx,InnoDB,18789,1589248,0
